,sample.id,exp,w_k,filt_type,phys_state,exp_phys_state,mock_neg,kelpbed_time,Archaea_Thaumarchaeota_Nitrososphaeria,Bacteria_Acidobacteria_Acidobacteriia,Bacteria_Acidobacteria_Blastocatellia_.Subgroup_4.,Bacteria_Acidobacteria_Holophagae,Bacteria_Acidobacteria_Thermoanaerobaculia,Bacteria_Actinobacteria_Acidimicrobiia,Bacteria_Actinobacteria_Actinobacteria,Bacteria_Actinobacteria_Nitriliruptoria,Bacteria_Armatimonadetes_Fimbriimonadia,Bacteria_Bacteroidetes_Bacteroidia,Bacteria_Bacteroidetes_Rhodothermia,Bacteria_Calditrichaeota_Calditrichia,Bacteria_Chlamydiae_Chlamydiae,Bacteria_Chloroflexi_Anaerolineae,Bacteria_Cloacimonetes_Cloacimonadia,Bacteria_Cyanobacteria_Oxyphotobacteria,Bacteria_Deinococcus.Thermus_Deinococci,Bacteria_Dependentiae_Babeliae,Bacteria_Epsilonbacteraeota_Campylobacteria,Bacteria_Fibrobacteres_Chitinivibrionia,Bacteria_Fibrobacteres_Fibrobacteria,Bacteria_Firmicutes_Bacilli,Bacteria_Firmicutes_Clostridia,Bacteria_Firmicutes_Erysipelotrichia,Bacteria_Firmicutes_Negativicutes,Bacteria_Fusobacteria_Fusobacteriia,Bacteria_Hydrogenedentes_Hydrogenedentia,Bacteria_Kiritimatiellaeota_Kiritimatiellae,Bacteria_Latescibacteria_Latescibacteria,Bacteria_Lentisphaerae_Lentisphaeria,Bacteria_Nitrospinae_Nitrospinia,Bacteria_Nitrospirae_Nitrospira,Bacteria_Omnitrophicaeota_Omnitrophia,Bacteria_Patescibacteria_Saccharimonadia,Bacteria_Planctomycetes_Phycisphaerae,Bacteria_Planctomycetes_Planctomycetacia,Bacteria_Proteobacteria_Alphaproteobacteria,Bacteria_Proteobacteria_Deltaproteobacteria,Bacteria_Proteobacteria_Gammaproteobacteria,Bacteria_Spirochaetes_Leptospirae,Bacteria_Spirochaetes_Spirochaetia,Bacteria_Tenericutes_Mollicutes,Bacteria_Verrucomicrobia_Verrucomicrobiae
asinsqrt_kelp03_S01_N_1_2_S99,kelp03_S01_N_1.2,kelp03,one_point_two_w,one_point_two,na,kelp03_W,no,mohawk_may,0.031026714,0.007755512,0,0,0,0.07425331,0,0,0,0.729314073,0,0,0,0,0,0.247839104,0.012262725,0,0.132915934,0,0,0,0,0,0.012262725,0.052337153,0,0.022612709,0,0,0,0,0,0,0.121567022,0.172706225,0.443589843,0.131187871,0.332172278,0,0,0,0.34795344
asinsqrt_kelp03_S01_N_sterivex_S88,kelp03_S01_N_sterivex,kelp03,w_niskin,sterivex,na,kelp03_W,no,mohawk_may,0.081510856,0,0,0,0,0.190251348,0,0,0,0.637791976,0,0,0,0,0,0.163859985,0,0,0.044295228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116215633,0.718720788,0.034846955,0.328689383,0,0,0,0.14931187
asinsqrt_kelp03_S01_W_1_2_S98,kelp03_S01_W_1.2,kelp03,one_point_two_w,one_point_two,na,kelp03_W,no,mohawk_may,0.036197057,0,0,0,0,0.122062033,0,0,0,0.674613902,0,0,0,0,0,0.360802459,0,0,0.025075208,0,0,0,0,0,0,0,0,0,0,0,0.016184988,0,0,0,0.130449406,0.163049097,0.514705934,0.12227858,0.257819846,0,0,0.010236017,0.326099637
asinsqrt_kelp03_S01_W_sterivex_S87,kelp03_S01_W_sterivex,kelp03,w,sterivex,na,kelp03_W,no,mohawk_may,0.063752684,0,0,0,0,0.222747378,0,0,0,0.633655322,0,0,0,0,0,0.110142124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054987488,0.756214142,0.027483351,0.328239186,0,0,0,0.07719189
asinsqrt_kelp03_S02_N_1_2_S101,kelp03_S02_N_1.2,kelp03,one_point_two_w,one_point_two,na,kelp03_W,no,mohawk_may,0.057399843,0,0,0,0,0.142980774,0,0,0,0.64316871,0,0,0,0,0,0.406524189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10608626,0.12929,0.538116595,0.104485011,0.259685175,0,0,0,0.309971154
asinsqrt_kelp03_S02_N_sterivex_S90,kelp03_S02_N_sterivex,kelp03,w_niskin,sterivex,na,kelp03_W,no,mohawk_may,0.088435108,0,0,0,0,0.252480258,0,0,0,0.561627556,0,0,0,0,0,0.149542418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021422356,0,0,0,0,0.040085227,0.785484197,0,0.34462473,0,0,0,0.087780754
asinsqrt_kelp03_S02_W_1_2_S100,kelp03_S02_W_1.2,kelp03,one_point_two_w,one_point_two,na,kelp03_W,no,mohawk_may,0.091514352,0,0,0,0,0.170398803,0,0,0,0.55555073,0,0,0,0,0,0.488933442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116760722,0.098061482,0.590246567,0.094339094,0.249612475,0,0,0,0.250206531
asinsqrt_kelp03_S02_W_sterivex_S89,kelp03_S02_W_sterivex,kelp03,w,sterivex,na,kelp03_W,no,mohawk_may,0.1084297,0,0,0,0,0.255890419,0,0,0,0.519175356,0,0,0,0,0,0.186793527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044567133,0.813996525,0,0.327561166,0,0,0,0.097509301
asinsqrt_kelp03_S03_kelp1_S138,kelp03_S03_kelp1,kelp03,k,sterivex,H,kelp03_3,no,mohawk_may,0.048592227,0,0,0,0,0.135128416,0.160082816,0,0,0.46636441,0,0,0,0,0,0.214651728,0,0,0.082037481,0,0,0.176566203,0.103664086,0,0,0,0,0,0,0,0,0,0,0,0.040426278,0.414823562,0.338615914,0.052199588,0.633527394,0,0.103664086,0,0.141767363
asinsqrt_kelp03_S03_W_1_2_S102,kelp03_S03_W_1.2,kelp03,one_point_two_w,one_point_two,na,kelp03_W,no,mohawk_may,0.055550282,0,0,0,0,0.158059532,0,0,0,0.620610444,0,0,0,0,0,0.403717938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130801655,0.10524985,0.562196137,0.132846159,0.264740862,0,0,0,0.289405448
