sample.id.davis	sample.id	asin.sample.id	loc.in.bed	exp	w_k	filt_type	phys_state	exp_phys_state	mock_neg	kelpbed_time
kelp03_S01_N_1_2_S99	kelp03_S01_N_1.2	asinsqrt_kelp03_S01_N_1_2_S99	na	kelp03	w_niskin_one_point_two	one_point_two	na	kelp03_W	no	mohawk_may
kelp03_S01_N_sterivex_S88	kelp03_S01_N_sterivex	asinsqrt_kelp03_S01_N_sterivex_S88	na	kelp03	w_niskin	sterivex	na	kelp03_W	no	mohawk_may
kelp03_S01_W_1_2_S98	kelp03_S01_W_1.2	asinsqrt_kelp03_S01_W_1_2_S98	na	kelp03	w_one_point_two	one_point_two	na	kelp03_W	no	mohawk_may
kelp03_S01_W_sterivex_S87	kelp03_S01_W_sterivex	asinsqrt_kelp03_S01_W_sterivex_S87	na	kelp03	w	sterivex	na	kelp03_W	no	mohawk_may
kelp03_S02_N_1_2_S101	kelp03_S02_N_1.2	asinsqrt_kelp03_S02_N_1_2_S101	na	kelp03	w_niskin_one_point_two	one_point_two	na	kelp03_W	no	mohawk_may
kelp03_S02_N_sterivex_S90	kelp03_S02_N_sterivex	asinsqrt_kelp03_S02_N_sterivex_S90	na	kelp03	w_niskin	sterivex	na	kelp03_W	no	mohawk_may
kelp03_S02_W_1_2_S100	kelp03_S02_W_1.2	asinsqrt_kelp03_S02_W_1_2_S100	na	kelp03	w_one_point_two	one_point_two	na	kelp03_W	no	mohawk_may
kelp03_S02_W_sterivex_S89	kelp03_S02_W_sterivex	asinsqrt_kelp03_S02_W_sterivex_S89	na	kelp03	w	sterivex	na	kelp03_W	no	mohawk_may
kelp03_S03_kelp1_S138	kelp03_S03_kelp1	asinsqrt_kelp03_S03_kelp1_S138	na	kelp03	k	sterivex	H	kelp03_3	no	mohawk_may
kelp03_S03_W_1_2_S102	kelp03_S03_W_1.2	asinsqrt_kelp03_S03_W_1_2_S102	na	kelp03	w_one_point_two	one_point_two	na	kelp03_W	no	mohawk_may
kelp03_S03_W_sterivex_S91	kelp03_S03_W_sterivex	asinsqrt_kelp03_S03_W_sterivex_S91	na	kelp03	w	sterivex	na	kelp03_W	no	mohawk_may
kelp03_S04_kelp1_S139	kelp03_S04_kelp1	asinsqrt_kelp03_S04_kelp1_S139	na	kelp03	k	sterivex	H	kelp03_4	no	mohawk_may
kelp03_S04_kelp2_S140	kelp03_S04_kelp2	asinsqrt_kelp03_S04_kelp2_S140	na	kelp03	k	sterivex	H	kelp03_4	no	mohawk_may
kelp03_S04_kelp3_S141	kelp03_S04_kelp3	asinsqrt_kelp03_S04_kelp3_S141	na	kelp03	k	sterivex	H	kelp03_4	no	mohawk_may
